Draft Year,Draft Round,Draft Overall Pick,Player Name,Drafted Team,NHL Seasons,NHL GP,NHL G,NHL A,NHL TP,League,Position,Position Check,Season,Season,Season End,Draft Eligible Year,Years Since Draft Eligible,GP,G,A,Points,PPG,Shot,Age Relative to Sep 15,Ht,Wt,League Group
2014,1,1,Aaron Ekblad,Florida Panthers,11,732,118,262,380,OHL,D,D,2013-2014,2013-2014,2014,2014,0,58,23,30,53,0.91,R,147.0,76.0,220.0,CAN-MJ
2014,1,2,Sam Reinhart,Buffalo Sabres,11,773,292,324,616,WHL,F,F,2013-2014,2013-2014,2014,2014,0,60,36,69,105,1.75,R,51.0,74.0,194.0,CAN-MJ
2014,1,3,Leon Draisaitl,Edmonton Oilers,11,790,399,557,956,WHL,F,F,2013-2014,2013-2014,2014,2014,0,64,38,67,105,1.64,L,42.0,74.4,209.0,CAN-MJ
2014,1,4,Sam Bennett,Calgary Flames,11,689,162,173,335,OHL,F,F,2013-2014,2013-2014,2014,2014,0,57,36,55,91,1.6,L,280.0,72.8,194.0,CAN-MJ
2014,1,5,Michael Dal Colle,New York Islanders,5,112,8,13,21,OHL,F,F,2013-2014,2013-2014,2014,2014,0,67,39,56,95,1.42,L,280.0,75.2,194.0,CAN-MJ
2014,1,6,Jake Virtanen,Vancouver Canucks,6,317,55,45,100,WHL,F,F,2013-2014,2013-2014,2014,2014,0,71,45,26,71,1.0,R,337.0,73.2,227.0,CAN-MJ
2014,1,7,Haydn Fleury,Carolina Hurricanes,8,306,10,34,44,WHL,D,D,2013-2014,2013-2014,2014,2014,0,70,8,38,46,0.66,L,298.0,74.8,207.0,CAN-MJ
2014,1,8,William Nylander,Toronto Maple Leafs,10,681,261,349,610,SHL,F,F,2013-2014,2013-2014,2014,2014,0,22,1,6,7,0.32,R,231.0,72.0,203.0,EURO-I
2014,1,8,William Nylander,Toronto Maple Leafs,10,681,261,349,610,HOCKEYALLSVENSKAN,F,F,2013-2014,2013-2014,2014,2014,0,35,15,12,27,0.77,R,231.0,72.0,203.0,EURO-II
2014,1,8,William Nylander,Toronto Maple Leafs,10,681,261,349,610,J20 NATIONELL,F,F,2013-2014,2013-2014,2014,2014,0,3,0,3,3,1.0,R,231.0,72.0,203.0,EURO-III
